cell                                                                   check                 verdict  detail
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    quality ndcg@500      PASS     v2 0.774934 golden 0.774934 |diff| 1.3e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    quality recall@1000   PASS     v2 0.617541 golden 0.617541 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    quality ndcg@1000     PASS     v2 0.676164 golden 0.676164 |diff| 1.2e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    latency k=100 bs=1    FAIL     v2 graph 0.3938 ms golden 0.4031 ms ratio 0.977 [sm 1410/1155 MHz → normalised ratio 1.193]; v2 eager 1.1548 ms
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    latency k=100 bs=8    FAIL     v2 graph 1.3259 ms golden 1.3280 ms ratio 0.998 [sm 1410/1155 MHz → normalised ratio 1.219]; v2 eager 1.4851 ms
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    latency k=100 bs=16   FAIL     v2 graph 2.4059 ms golden 2.4110 ms ratio 0.998 [sm 1410/1155 MHz → normalised ratio 1.218]; v2 eager 2.5827 ms
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    latency k=500 bs=1    FAIL     v2 graph 0.4156 ms golden 0.4286 ms ratio 0.970 [sm 1410/1155 MHz → normalised ratio 1.184]; v2 eager 1.4264 ms
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    latency k=500 bs=8    FAIL     v2 graph 1.3509 ms golden 1.3538 ms ratio 0.998 [sm 1410/1155 MHz → normalised ratio 1.218]; v2 eager 1.5108 ms
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    latency k=500 bs=16   FAIL     v2 graph 2.4266 ms golden 2.4327 ms ratio 0.998 [sm 1410/1155 MHz → normalised ratio 1.218]; v2 eager 2.6018 ms
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    latency k=1000 bs=1   FAIL     v2 graph 0.4283 ms golden 0.4406 ms ratio 0.972 [sm 1410/1155 MHz → normalised ratio 1.187]; v2 eager 1.4266 ms
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    latency k=1000 bs=8   FAIL     v2 graph 1.3515 ms golden 1.3554 ms ratio 0.997 [sm 1410/1155 MHz → normalised ratio 1.217]; v2 eager 1.5124 ms
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    latency k=1000 bs=16  FAIL     v2 graph 2.4283 ms golden 2.4337 ms ratio 0.998 [sm 1410/1155 MHz → normalised ratio 1.218]; v2 eager 2.6063 ms
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    parity                INFO     parity=reference (wrote the reference or no quality)
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    stable                FAIL     unstable: k=100 bs=1 eager spread 0.228, k=500 bs=1 eager spread 0.051 clocks_drift
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     quality recall@100    PASS     v2 0.876957 golden 0.876957 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     quality ndcg@100      PASS     v2 0.909106 golden 0.909106 |diff| 1.6e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     quality recall@500    PASS     v2 0.724322 golden 0.724322 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     quality ndcg@500      PASS     v2 0.774934 golden 0.774934 |diff| 1.3e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     quality recall@1000   PASS     v2 0.617541 golden 0.617541 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     quality ndcg@1000     PASS     v2 0.676164 golden 0.676164 |diff| 1.2e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     latency k=100 bs=1    PASS     v2 graph 0.4623 ms golden 0.5488 ms ratio 0.842 [sm 1410/1155 MHz → normalised ratio 1.028]; v2 eager 1.6883 ms
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     latency k=100 bs=8    FAIL     v2 graph 1.9223 ms golden 1.8741 ms ratio 1.026 [sm 1410/1155 MHz → normalised ratio 1.252]; v2 eager 10.7331 ms
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     latency k=100 bs=16   FAIL     v2 graph 3.4971 ms golden 3.3966 ms ratio 1.030 [sm 1410/1155 MHz → normalised ratio 1.257]; v2 eager 20.9077 ms
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     latency k=500 bs=1    FAIL     v2 graph 0.4818 ms golden 0.4893 ms ratio 0.985 [sm 1410/1155 MHz → normalised ratio 1.202]; v2 eager 1.7071 ms
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     latency k=500 bs=8    FAIL     v2 graph 1.9373 ms golden 1.8888 ms ratio 1.026 [sm 1410/1155 MHz → normalised ratio 1.252]; v2 eager 10.7528 ms
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     latency k=500 bs=16   FAIL     v2 graph 3.5141 ms golden 3.4133 ms ratio 1.030 [sm 1410/1155 MHz → normalised ratio 1.257]; v2 eager 20.9350 ms
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     latency k=1000 bs=1   PASS     v2 graph 0.4838 ms golden 0.5760 ms ratio 0.840 [sm 1410/1155 MHz → normalised ratio 1.025]; v2 eager 1.7104 ms
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     latency k=1000 bs=8   FAIL     v2 graph 1.9340 ms golden 1.8912 ms ratio 1.023 [sm 1410/1155 MHz → normalised ratio 1.248]; v2 eager 10.7510 ms
goodreads-d128-clause/c0_genre-linr_v3-torch-s0-{}                     latency k=1000 bs=16  FAIL     v2 graph 3.5120 ms golden 3.4142 ms ratio 1.029 [sm 1410/1155 MHz → normalised ratio 1.256]; v2 eager 20.9203 ms
